tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
17016	27481	2	serviceberry	A	14.9	192.5	1		1.3	2014-06-23
17015	27482	1	autumn olive	A	17.5	191.3	1.2	M	1.3	2014-06-23
270	1159	1	red maple	A	19.8	194.1	73.1	M	1.3	2014-06-23
270	1159	2	red maple	A	19.8	194.1	32.2		1.3	2014-06-23
17014	27483	1	autumn olive	A	21	192.3	1.3	M	1.3	2014-06-23
3140	1160	1	white oak	A	25.3	194.5	NA	D	1.3	2014-06-23
271	15006	1	black cherry	A	29.6	195	4.3	M	1.3	2014-06-23
3141	1161	1	black cherry	A	29.6	192	18.6	M	1.3	2014-06-23
3142	1162	1	black cherry	A	31	193.8	8.8	M	1.3	2014-06-23
272	15007	1	black cherry	A	31.3	193.6	NA	D	1.3	2014-06-23
3143	1163	1	black cherry	A	32.2	193.6	5.1	M	1.3	2014-06-23
3144	1164	1	black cherry	A	33	192.5	9.6	M	1.3	2014-06-23
273	15008	1	black cherry	A	33.2	190.5	3.7	M	1.3	2014-06-23
3145	1165	1	black cherry	A	33.7	190.6	6.6	M	1.3	2014-06-23
3148	1166	1	white oak	A	36	190.4	28.5	M	1.3	2014-06-23
3146	1168	1	black cherry	A	36.2	192.7	6.8	M	1.3	2014-06-23
3149	1169	1	black cherry	A	37.5	191.5	6	M	1.3	2014-06-23
3150	1170	1	black cherry	A	40.7	191	7.2	M	1.3	2014-06-23
